Player,Pos'n,MLS,Salary, 
"Gomez, Carlos",cf,10.141,"$4,000,000 ",,
"Avila, Alex",c,8.061,"$4,000,000 ",,
"Walker, Neil",2b,7.166,"$4,000,000 ",,
"Flowers, Tyler",c,6.148,"$4,000,000 ",,
"Nunez, Eduardo",2b,6.090,"$4,000,000 ",,
"Adams, Matt",1b-lf,5.033,"$4,000,000 ",,
"Rondon, Hector",rhp,5.000,"$4,000,000 ",,
"Wong, Kolten",2b,4.045,"$4,000,000 ",,
"Jones, Nate",rhp-c,6.000,"$3,950,000 ",,
"Ray, Robbie",lhp-s,3.007,"$3,950,000 ",,
"Maldonado, Martin",c,5.156,"$3,900,000 ",,
"Kelly, Joe",rhp,5.029,"$3,825,000 ",,
"Dyson, Jarrod",lf-cf,6.088,"$3,750,000 ",,
"Nelson, Jimmy",rhp-s,3.107,"$3,700,000 ",,
"Knebel, Corey",rhp,2.151,"$3,650,000 ",,
"Iannetta, Chris",c,11.013,"$3,600,000 ",,
"Souza, Steven",rf,3.072,"$3,550,000 ",,
"Suzuki, Kurt",c,10.113,"$3,500,000 ",,
"Duensing, Brian",lhp,8.055,"$3,500,000 ",,
"Fister, Doug",rhp-s,7.158,"$3,500,000 ",,
"Petit, Yusmeiro",rhp,7.016,"$3,500,000 ",,
"Duda, Lucas",1b,6.137,"$3,500,000 ",,
"d'Arnaud, Travis",c,4.044,"$3,475,000 ",,
"Panik, Joe",2b,3.100,"$3,450,000 ",,
"Vizcaino, Arodys",rhp-c,4.168,"$3,400,000 ",,
"Owings, Chris",ss,4.027,"$3,400,000 ",,
"Flores, Wilmer",2b-3b,4.003,"$3,400,000 ",,
"Bour, Justin",1b,3.064,"$3,400,000 ",,
"Straily, Dan",rhp-s,3.126,"$3,370,000 ",,
"Beckham, Tim",3b,3.134,"$3,350,000 ",,
"Herrera, Odubel",cf,3.000,"$3,350,000 ",,
"Odor, Rougned",2b,3.121,"$3,333,333 ",,
"Warren, Adam",rhp,5.036,"$3,315,000 ",,
"Peralta, David",rf,3.120,"$3,300,000 ",,
"Maybin, Cameron",lf-cf,8.073,"$3,250,000 ",,
"Pillar, Kevin",cf,3.113,"$3,250,000 ",,
"Russell, Addison",ss,2.167,"$3,200,000 ",,
"Semien, Marcus",ss,3.118,"$3,125,000 ",,
"Maeda, Kenta",rhp-s,2.000,"$3,125,000 ",,
"Vogt, Stephen",c,4.084,"$3,065,000 ",,
"Kendrick, Howie",lf-2b,11.091,"$3,000,000 ",,
"Rasmus, Colby",lf-cf,8.103,"$3,000,000 ",,
"Norris, Bud",rhp,8.068,"$3,000,000 ",,
"Jackson, Austin",cf,8.000,"$3,000,000 ",,
"Richard, Clayton",lhp-s,7.163,"$3,000,000 ",,
"Jay, Jon",cf,7.134,"$3,000,000 ",,
"Tomlin, Josh",rhp-s,7.033,"$3,000,000 ",,
"Tillman, Chris",rhp-s,6.113,"$3,000,000 ",,
"Watson, Tony",lhp,6.101,"$3,000,000 ",,
"Smyly, Drew",lhp-s,5.154,"$3,000,000 ",,
"Hutchison, Drew",rhp-s,3.165,"$3,000,000 ",,
"Rivero, Felipe",lhp,2.162,"$3,000,000 ",,
"Kang, Jung-Ho",3b,2.000,"$3,000,000 ",,
"Hirano, Yoshihisa",rhp,0.000,"$3,000,000 ",,
"Zunino, Mike",c,3.160,"$2,975,000 ",,
"Syndergaard, Noah",rhp-s,2.149,"$2,975,000 ",,
"Maurer, Brandon",rhp,4.089,"$2,950,000 ",,
"Franco, Maikel",3b,2.170,"$2,950,000 ",,
"Dietrich, Derek",lf-2b,3.151,"$2,900,000 ",,
"Realmuto, J.T.",c,3.038,"$2,900,000 ",,
"Ramirez, Jose",3b,3.074,"$2,828,000 ",,
"Hicks, Aaron",of,4.041,"$2,825,000 ",,
"Rivera, Rene",c,6.070,"$2,800,000 ",,
"Harris, Will",rhp,4.102,"$2,800,000 ",,
"Grichuk, Randal",lf,3.033,"$2,800,000 ",,
"Guyer, Brandon",of,5.066,"$2,750,000 ",,
"Vincent, Nick",rhp,4.067,"$2,750,000 ",,
"Kontos, George",rhp,4.171,"$2,725,000 ",,
"Diekman, Jake",lhp,5.050,"$2,712,500 ",,
"Sanchez, Aaron",rhp-s,3.069,"$2,700,000 ",,
"Pederson, Joc",cf,3.023,"$2,600,000 ",,
"Villar, Jonathan",2b,3.113,"$2,550,000 ",,
"Suarez, Eugenio",3b,3.061,"$2,535,714 ",,
"Taylor, Michael",of,3.010,"$2,525,000 ",,
"Albers, Matt",rhp,10.141,"$2,500,000 ",,
"Romo, Sergio",rhp,9.097,"$2,500,000 ",,
"Hundley, Nick",c,9.059,"$2,500,000 ",,
"Hernandez, David",rhp,8.084,"$2,500,000 ",,
"Escobar, Alcides",ss,8.082,"$2,500,000 ",,
"Smith, Will",lhp,4.155,"$2,500,000 ",,
"McAllister, Zach",rhp,5.077,"$2,450,000 ",,
"Avilan, Luis",lhp,4.146,"$2,450,000 ",,
"McCullers Jr., Lance",rhp-s,2.140,"$2,450,000 ",,
"Peacock, Brad",rhp,3.165,"$2,440,000 ",,
"Sogard, Eric",2b,6.035,"$2,400,000 ",,
"Jennings, Dan",lhp,4.171,"$2,375,000 ",,
"McCann, James",c,3.028,"$2,375,000 ",,
"Rodriguez, Eduardo",lhp-s,2.130,"$2,375,000 ",,
"Graveman, Kendall",rhp-s,3.014,"$2,360,000 ",,
"Sanchez, Yolmer Carlos",2b,2.134,"$2,350,000 ",,
"Butera, Drew",c,7.018,"$2,300,000 ",,
"Cingrani, Tony",lhp,4.088,"$2,300,000 ",,
"Cron, C.J.",1b-dh,3.097,"$2,300,000 ",,
"Rodon, Carlos",lhp-s,2.168,"$2,300,000 ",,
"De La Rosa, Jorge",lhp,13.015,"$2,250,000 ",,
"Stammen, Craig",rhp,6.160,"$2,250,000 ",,
"Chirinos, Robinson",c,5.103,"$2,250,000 ",,
"Delgado, Randall",rhp,5.100,"$2,250,000 ",,
"Holt, Brock",3b-rf,4.052,"$2,225,000 ",,
"Fields, Josh",rhp,4.083,"$2,200,000 ",,
"Foltynewicz, Mike",rhp-s,2.163,"$2,200,000 ",,
"Duke, Zach",lhp,11.054,"$2,150,000 ",,
"Hatcher, Chris",rhp,4.146,"$2,150,000 ",,
"Treinen, Blake",rhp-c,3.065,"$2,150,000 ",,
"Hughes, Jared",rhp,5.162,"$2,125,000 ",,
"Thornburg, Tyler",rhp,4.057,"$2,050,000 ",,
"Reyes, Jose",ss-3b,14.052,"$2,000,000 ",,
"Young, Chris",rf-lf,11.039,"$2,000,000 ",,
"Mathis, Jeff",c,11.012,"$2,000,000 ",,
"Descalso, Daniel",3b-ss,7.016,"$2,000,000 ",,
"Pineda, Michael",rhp-s,6.099,"$2,000,000 ",,
"Santiago, Hector",lhp-s,6.016,"$2,000,000 ",,
"Eovaldi, Nate",rhp-s,6.013,"$2,000,000 ",,
"Koehler, Tom",rhp-s,4.152,"$2,000,000 ",,
"Turner, Jacob",rhp-s,4.013,"$2,000,000 ",,
"Bettis, Chad",rhp-s,3.096,"$2,000,000 ",,
"Grossman, Robbie",lf,3.060,"$2,000,000 ",,
"Diaz, Aledmys",ss,1.100,"$2,000,000 ",,
"Perez, Hernan",3b,3.079,"$1,975,000 ",,
"Leon, Sandy",c,3.149,"$1,950,000 ",,
"Greene, Shane",rhp,3.075,"$1,950,000 ",,
"Wilson, Alex",rhp,4.038,"$1,925,000 ",,
"Hendriks, Liam",rhp,4.038,"$1,900,000 ",,
"Marisnick, Jake",cf,3.145,"$1,900,000 ",,
"Ramirez, J.C.",rhp,2.139,"$1,900,000 ",,
"Makita, Kazuhisa",rhp,0.000,"$1,900,000 ",,
"Logan, Boone",lhp,10.140,"$1,875,000 ",,
"Skaggs, Tyler",lhp-s,3.135,"$1,875,000 ",,
"Boxberger, Brad",rhp,4.109,"$1,850,000 ",,
"Loup, Aaron",lhp,5.040,"$1,812,500 ",,
"Parker, Blake",rhp,3.036,"$1,800,000 ",,
"Davis, Rajai",cf,10.167,"$1,750,000 ",,
"Holland, Derek",lhp-s,8.105,"$1,750,000 ",,
"Ross, Tyson",rhp-s,6.118,"$1,750,000 ",,
"Martin, Leonys",cf,4.161,"$1,750,000 ",,
"Oh, Seung-hwan",rhp,2.000,"$1,750,000 ",,
"Martin, Chris",rhp,0.133,"$1,750,000 ",,
"Jeffress, Jeremy",rhp,4.104,"$1,700,000 ",,
"Spangenberg, Cory",3b,3.016,"$1,700,000 ",,
"Gearrin, Cory",rhp,4.136,"$1,675,000 ",,
"Bundy, Dylan",rhp-s,2.026,"$1,640,000 ",,
"Perez, Roberto",c,3.083,"$1,625,000 ",,
"Pressly, Ryan",rhp,4.039,"$1,600,000 ",,
"Hernandez, Enrique",2b-ss,3.054,"$1,600,000 ",,
"Strickland, Hunter",rhp,2.163,"$1,550,000 ",,
"Belisle, Matt",rhp,12.019,"$1,500,000 ",,
"Clippard, Tyler",rhp,8.148,"$1,500,000 ",,
"Pennington, Cliff",ss-2b,8.114,"$1,500,000 ",,
"Axford, John",rhp,7.118,"$1,500,000 ",,
"Salas, Fernando",rhp,7.044,"$1,500,000 ",,
"Peralta, Wily",rhp,4.112,"$1,500,000 ",,
"Baez, Pedro",rhp,3.059,"$1,500,000 ",,
"Barnette, Tony",rhp,2.000,"$1,500,000 ",,
"Wood, Blake",rhp,5.131,"$1,450,000 ",,
"Travis, Devon",2b,3.000,"$1,450,000 ",,
"Gurriel, Lourdes",ss-2b,0.000,"$1,428,571 ",,
"Vazquez, Christian",c,3.031,"$1,425,000 ",,
"Karns, Nate",rhp-s,3.033,"$1,375,000 ",,
"Piscotty, Stephen",rf,2.075,"$1,333,333 ",,
"Kahnle, Tommy",rhp,3.015,"$1,312,500 ",,
"Lorenzen, Michael",rhp,2.159,"$1,312,500 ",,
"Montero, Miguel",c,11.031,"$1,300,000 ",,
"Herrmann, Chris",c,4.001,"$1,300,000 ",,
